date,ingredient,unit,consumed_qty
2025-09-01,Rice,g,24440.8
2025-09-01,Chicken,g,25115.8
2025-09-01,Spices,g,2591.7
2025-09-01,Oil,ml,8260.6
2025-09-01,Vegetables,g,12126.2
2025-09-01,Egg,g,2052.5
2025-09-01,Cheese,g,3262.8
2025-09-01,Flour,g,9686.1
2025-09-02,Rice,g,25748.3
2025-09-02,Chicken,g,25108.3
2025-09-02,Spices,g,2431.6
2025-09-02,Oil,ml,7061.3
2025-09-02,Vegetables,g,14149.2
2025-09-02,Egg,g,1974.7
2025-09-02,Cheese,g,4936.6
2025-09-02,Flour,g,13003.5
2025-09-03,Rice,g,25648.2
2025-09-03,Chicken,g,25295.4
2025-09-03,Spices,g,2519.8
2025-09-03,Oil,ml,7851.5
2025-09-03,Vegetables,g,15022.5
2025-09-03,Egg,g,2353.4
2025-09-03,Cheese,g,5230.3
2025-09-03,Flour,g,14043.6
2025-09-04,Rice,g,26222.1
2025-09-04,Chicken,g,32841.2
2025-09-04,Spices,g,2903.6
2025-09-04,Oil,ml,9371.9
2025-09-04,Vegetables,g,17193.9
2025-09-04,Egg,g,2109.3
2025-09-04,Cheese,g,7506.8
2025-09-04,Flour,g,19768.4
2025-09-05,Rice,g,40574.8
2025-09-05,Chicken,g,48284.5
2025-09-05,Spices,g,4407.3
2025-09-05,Oil,ml,14631.1
2025-09-05,Vegetables,g,26286.5
2025-09-05,Egg,g,3620.2
2025-09-05,Cheese,g,11397.9
2025-09-05,Flour,g,29034.9
2025-09-06,Rice,g,39329.4
2025-09-06,Chicken,g,41647.6
2025-09-06,Spices,g,3943.9
2025-09-06,Oil,ml,12078.0
2025-09-06,Vegetables,g,21386.7
2025-09-06,Egg,g,2562.7
2025-09-06,Cheese,g,8501.9
2025-09-06,Flour,g,21530.4
2025-09-07,Rice,g,38805.0
2025-09-07,Chicken,g,41977.0
2025-09-07,Spices,g,3892.2
2025-09-07,Oil,ml,11018.0
2025-09-07,Vegetables,g,21420.2
2025-09-07,Egg,g,2673.7
2025-09-07,Cheese,g,7853.3
2025-09-07,Flour,g,20904.2
2025-09-08,Rice,g,25768.5
2025-09-08,Chicken,g,24845.3
2025-09-08,Spices,g,2496.9
2025-09-08,Oil,ml,6900.7
2025-09-08,Vegetables,g,13273.4
2025-09-08,Egg,g,2069.3
2025-09-08,Cheese,g,3718.5
2025-09-08,Flour,g,9995.2
2025-09-09,Rice,g,21492.1
2025-09-09,Chicken,g,27127.2
2025-09-09,Spices,g,2493.9
2025-09-09,Oil,ml,8132.6
2025-09-09,Vegetables,g,11844.9
2025-09-09,Egg,g,1612.7
2025-09-09,Cheese,g,4457.4
2025-09-09,Flour,g,11814.0
2025-09-10,Rice,g,25254.3
2025-09-10,Chicken,g,29413.4
2025-09-10,Spices,g,2922.0
2025-09-10,Oil,ml,9195.2
2025-09-10,Vegetables,g,14021.1
2025-09-10,Egg,g,2035.9
2025-09-10,Cheese,g,4434.2
2025-09-10,Flour,g,13115.9
2025-09-11,Rice,g,32348.2
2025-09-11,Chicken,g,32229.0
2025-09-11,Spices,g,3276.3
2025-09-11,Oil,ml,9878.6
2025-09-11,Vegetables,g,16056.4
2025-09-11,Egg,g,2589.8
2025-09-11,Cheese,g,4477.6
2025-09-11,Flour,g,12791.9
2025-09-12,Rice,g,24952.0
2025-09-12,Chicken,g,32273.3
2025-09-12,Spices,g,2840.5
2025-09-12,Oil,ml,9776.1
2025-09-12,Vegetables,g,16471.7
2025-09-12,Egg,g,2498.7
2025-09-12,Cheese,g,6401.8
2025-09-12,Flour,g,17683.3
2025-09-13,Rice,g,40398.8
2025-09-13,Chicken,g,41981.4
2025-09-13,Spices,g,3881.3
2025-09-13,Oil,ml,11457.3
2025-09-13,Vegetables,g,22495.4
2025-09-13,Egg,g,2695.8
2025-09-13,Cheese,g,9076.7
2025-09-13,Flour,g,22573.2
2025-09-14,Rice,g,30965.1
2025-09-14,Chicken,g,38938.0
2025-09-14,Spices,g,3391.3
2025-09-14,Oil,ml,10949.3
2025-09-14,Vegetables,g,19379.0
2025-09-14,Egg,g,2435.5
2025-09-14,Cheese,g,8695.2
2025-09-14,Flour,g,20934.9
2025-09-15,Rice,g,23569.8
