date,item,orders
2025-09-01,Chicken Biriyani,59
2025-09-01,Fried Rice,39
2025-09-01,Burger,22
2025-09-01,Pizza,16
2025-09-01,Pasta,20
2025-09-01,Chicken Fry,38
2025-09-02,Chicken Biriyani,65
2025-09-02,Fried Rice,39
2025-09-02,Burger,33
2025-09-02,Pizza,26
2025-09-02,Pasta,25
2025-09-02,Chicken Fry,24
2025-09-03,Chicken Biriyani,61
2025-09-03,Fried Rice,46
2025-09-03,Burger,36
2025-09-03,Pizza,27
2025-09-03,Pasta,28
2025-09-03,Chicken Fry,28
2025-09-04,Chicken Biriyani,68
2025-09-04,Fried Rice,41
2025-09-04,Burger,56
2025-09-04,Pizza,40
2025-09-04,Pasta,33
2025-09-04,Chicken Fry,38
2025-09-05,Chicken Biriyani,95
2025-09-05,Fried Rice,72
2025-09-05,Burger,75
2025-09-05,Pizza,65
2025-09-05,Pasta,44
2025-09-05,Chicken Fry,63
2025-09-06,Chicken Biriyani,103
2025-09-06,Fried Rice,50
2025-09-06,Burger,50
2025-09-06,Pizza,49
2025-09-06,Pasta,35
2025-09-06,Chicken Fry,48
2025-09-07,Chicken Biriyani,104
2025-09-07,Fried Rice,53
2025-09-07,Burger,58
2025-09-07,Pizza,41
2025-09-07,Pasta,37
2025-09-07,Chicken Fry,42
2025-09-08,Chicken Biriyani,67
2025-09-08,Fried Rice,40
2025-09-08,Burger,27
2025-09-08,Pizza,20
2025-09-08,Pasta,16
2025-09-08,Chicken Fry,26
2025-09-09,Chicken Biriyani,55
2025-09-09,Fried Rice,31
2025-09-09,Burger,36
2025-09-09,Pizza,24
2025-09-09,Pasta,16
2025-09-09,Chicken Fry,39
2025-09-10,Chicken Biriyani,64
2025-09-10,Fried Rice,38
2025-09-10,Burger,35
2025-09-10,Pizza,20
2025-09-10,Pasta,30
2025-09-10,Chicken Fry,42
2025-09-11,Chicken Biriyani,80
2025-09-11,Fried Rice,51
2025-09-11,Burger,33
2025-09-11,Pizza,22
2025-09-11,Pasta,24
2025-09-11,Chicken Fry,42
2025-09-12,Chicken Biriyani,55
2025-09-12,Fried Rice,48
2025-09-12,Burger,59
2025-09-12,Pizza,33
2025-09-12,Pasta,27
2025-09-12,Chicken Fry,45
2025-09-13,Chicken Biriyani,110
2025-09-13,Fried Rice,53
2025-09-13,Burger,59
2025-09-13,Pizza,51
2025-09-13,Pasta,36
2025-09-13,Chicken Fry,40
2025-09-14,Chicken Biriyani,80
2025-09-14,Fried Rice,47
2025-09-14,Burger,60
2025-09-14,Pizza,51
2025-09-14,Pasta,26
2025-09-14,Chicken Fry,47
2025-09-15,Chicken Biriyani,60
2025-09-15,Fried Rice,39
2025-09-15,Burger,27
2025-09-15,Pizza,21
2025-09-15,Pasta,19
2025-09-15,Chicken Fry,24
2025-09-16,Chicken Biriyani,52
2025-09-16,Fried Rice,46
2025-09-16,Burger,43
2025-09-16,Pizza,25
2025-09-16,Pasta,26
2025-09-16,Chicken Fry,40
2025-09-17,Chicken Biriyani,66
2025-09-17,Fried Rice,42
2025-09-17,Burger,34
2025-09-17,Pizza,25
2025-09-17,Pasta,27
2025-09-17,Chicken Fry,35
2025-09-18,Chicken Biriyani,65
2025-09-18,Fried Rice,37
2025-09-18,Burger,35
2025-09-18,Pizza,26
2025-09-18,Pasta,18
2025-09-18,Chicken Fry,22
2025-09-19,Chicken Biriyani,78
2025-09-19,Fried Rice,49
2025-09-19,Burger,37
2025-09-19,Pizza,39
2025-09-19,Pasta,26
2025-09-19,Chicken Fry,45
2025-09-20,Chicken Biriyani,85
2025-09-20,Fried Rice,59
2025-09-20,Burger,61
2025-09-20,Pizza,35
2025-09-20,Pasta,31
2025-09-20,Chicken Fry,52
2025-09-21,Chicken Biriyani,87
2025-09-21,Fried Rice,62
2025-09-21,Burger,62
2025-09-21,Pizza,35
2025-09-21,Pasta,23
2025-09-21,Chicken Fry,49
2025-09-22,Chicken Biriyani,73
2025-09-22,Fried Rice,45
2025-09-22,Burger,34
2025-09-22,Pizza,14
2025-09-22,Pasta,19
2025-09-22,Chicken Fry,30
2025-09-23,Chicken Biriyani,53
2025-09-23,Fried Rice,40
2025-09-23,Burger,32
2025-09-23,Pizza,10
2025-09-23,Pasta,17
2025-09-23,Chicken Fry,29
2025-09-24,Chicken Biriyani,46
2025-09-24,Fried Rice,47
2025-09-24,Burger,34
2025-09-24,Pizza,12
2025-09-24,Pasta,21
2025-09-24,Chicken Fry,27
2025-09-25,Chicken Biriyani,89
2025-09-25,Fried Rice,36
2025-09-25,Burger,34
2025-09-25,Pizza,18
2025-09-25,Pasta,24
2025-09-25,Chicken Fry,34
2025-09-26,Chicken Biriyani,92
2025-09-26,Fried Rice,46
2025-09-26,Burger,49
2025-09-26,Pizza,35
2025-09-26,Pasta,35
2025-09-26,Chicken Fry,57
2025-09-27,Chicken Biriyani,89
2025-09-27,Fried Rice,48
2025-09-27,Burger,53
2025-09-27,Pizza,46
2025-09-27,Pasta,26
2025-09-27,Chicken Fry,47
2025-09-28,Chicken Biriyani,104
2025-09-28,Fried Rice,64
2025-09-28,Burger,42
2025-09-28,Pizza,44
2025-09-28,Pasta,38
2025-09-28,Chicken Fry,45
2025-09-29,Chicken Biriyani,57
2025-09-29,Fried Rice,41
2025-09-29,Burger,21
2025-09-29,Pizza,17
2025-09-29,Pasta,26
2025-09-29,Chicken Fry,33
2025-09-30,Chicken Biriyani,46
2025-09-30,Fried Rice,43
2025-09-30,Burger,45
2025-09-30,Pizza,27
2025-09-30,Pasta,29
2025-09-30,Chicken Fry,35
2025-10-01,Chicken Biriyani,54
2025-10-01,Fried Rice,48
2025-10-01,Burger,35
2025-10-01,Pizza,21
2025-10-01,Pasta,24
2025-10-01,Chicken Fry,35
2025-10-02,Chicken Biriyani,85
2025-10-02,Fried Rice,66
2025-10-02,Burger,43
2025-10-02,Pizza,28
2025-10-02,Pasta,25
2025-10-02,Chicken Fry,51
2025-10-03,Chicken Biriyani,45
2025-10-03,Fried Rice,34
2025-10-03,Burger,46
2025-10-03,Pizza,35
2025-10-03,Pasta,22
2025-10-03,Chicken Fry,25
2025-10-04,Chicken Biriyani,107
2025-10-04,Fried Rice,55
2025-10-04,Burger,54
2025-10-04,Pizza,56
2025-10-04,Pasta,30
2025-10-04,Chicken Fry,53
2025-10-05,Chicken Biriyani,93
2025-10-05,Fried Rice,62
2025-10-05,Burger,47
2025-10-05,Pizza,44
2025-10-05,Pasta,25
2025-10-05,Chicken Fry,46
2025-10-06,Chicken Biriyani,51
2025-10-06,Fried Rice,51
2025-10-06,Burger,29
2025-10-06,Pizza,23
2025-10-06,Pasta,22
2025-10-06,Chicken Fry,29
2025-10-07,Chicken Biriyani,61
2025-10-07,Fried Rice,40
2025-10-07,Burger,28
2025-10-07,Pizza,16
2025-10-07,Pasta,32
2025-10-07,Chicken Fry,35
2025-10-08,Chicken Biriyani,61
2025-10-08,Fried Rice,36
2025-10-08,Burger,29
2025-10-08,Pizza,19
2025-10-08,Pasta,25
2025-10-08,Chicken Fry,24
2025-10-09,Chicken Biriyani,66
2025-10-09,Fried Rice,35
2025-10-09,Burger,49
2025-10-09,Pizza,34
2025-10-09,Pasta,22
2025-10-09,Chicken Fry,29
2025-10-10,Chicken Biriyani,65
2025-10-10,Fried Rice,46
2025-10-10,Burger,45
2025-10-10,Pizza,29
2025-10-10,Pasta,27
2025-10-10,Chicken Fry,38
2025-10-11,Chicken Biriyani,79
2025-10-11,Fried Rice,46
2025-10-11,Burger,51
2025-10-11,Pizza,34
2025-10-11,Pasta,25
2025-10-11,Chicken Fry,40
2025-10-12,Chicken Biriyani,79
2025-10-12,Fried Rice,44
2025-10-12,Burger,58
2025-10-12,Pizza,36
2025-10-12,Pasta,20
2025-10-12,Chicken Fry,28
2025-10-13,Chicken Biriyani,58
2025-10-13,Fried Rice,46
2025-10-13,Burger,35
2025-10-13,Pizza,18
2025-10-13,Pasta,23
2025-10-13,Chicken Fry,36
2025-10-14,Chicken Biriyani,57
2025-10-14,Fried Rice,45
2025-10-14,Burger,41
2025-10-14,Pizza,25
2025-10-14,Pasta,19
2025-10-14,Chicken Fry,27
2025-10-15,Chicken Biriyani,53
2025-10-15,Fried Rice,36
2025-10-15,Burger,34
2025-10-15,Pizza,16
2025-10-15,Pasta,25
2025-10-15,Chicken Fry,38
2025-10-16,Chicken Biriyani,71
2025-10-16,Fried Rice,43
2025-10-16,Burger,36
2025-10-16,Pizza,25
2025-10-16,Pasta,10
2025-10-16,Chicken Fry,40
2025-10-17,Chicken Biriyani,86
2025-10-17,Fried Rice,48
2025-10-17,Burger,53
2025-10-17,Pizza,34
2025-10-17,Pasta,24
2025-10-17,Chicken Fry,29
2025-10-18,Chicken Biriyani,69
2025-10-18,Fried Rice,56
2025-10-18,Burger,46
2025-10-18,Pizza,41
2025-10-18,Pasta,29
2025-10-18,Chicken Fry,51
2025-10-19,Chicken Biriyani,110
2025-10-19,Fried Rice,51
2025-10-19,Burger,58
2025-10-19,Pizza,56
2025-10-19,Pasta,28
2025-10-19,Chicken Fry,40
2025-10-20,Chicken Biriyani,65
2025-10-20,Fried Rice,65
2025-10-20,Burger,51
2025-10-20,Pizza,38
2025-10-20,Pasta,29
2025-10-20,Chicken Fry,37
2025-10-21,Chicken Biriyani,68
2025-10-21,Fried Rice,47
2025-10-21,Burger,30
2025-10-21,Pizza,22
2025-10-21,Pasta,26
2025-10-21,Chicken Fry,30
2025-10-22,Chicken Biriyani,52
2025-10-22,Fried Rice,46
2025-10-22,Burger,33
2025-10-22,Pizza,22
2025-10-22,Pasta,16
2025-10-22,Chicken Fry,35
2025-10-23,Chicken Biriyani,68
2025-10-23,Fried Rice,42
2025-10-23,Burger,47
2025-10-23,Pizza,34
2025-10-23,Pasta,21
2025-10-23,Chicken Fry,35
2025-10-24,Chicken Biriyani,81
2025-10-24,Fried Rice,47
2025-10-24,Burger,60
2025-10-24,Pizza,38
2025-10-24,Pasta,42
2025-10-24,Chicken Fry,45
2025-10-25,Chicken Biriyani,89
2025-10-25,Fried Rice,51
2025-10-25,Burger,52
2025-10-25,Pizza,40
2025-10-25,Pasta,33
2025-10-25,Chicken Fry,49
2025-10-26,Chicken Biriyani,88
2025-10-26,Fried Rice,46
2025-10-26,Burger,48
2025-10-26,Pizza,41
2025-10-26,Pasta,23
2025-10-26,Chicken Fry,43
2025-10-27,Chicken Biriyani,57
2025-10-27,Fried Rice,49
2025-10-27,Burger,29
2025-10-27,Pizza,19
2025-10-27,Pasta,20
2025-10-27,Chicken Fry,21
2025-10-28,Chicken Biriyani,41
2025-10-28,Fried Rice,37
2025-10-28,Burger,33
2025-10-28,Pizza,20
2025-10-28,Pasta,31
2025-10-28,Chicken Fry,23
2025-10-29,Chicken Biriyani,77
2025-10-29,Fried Rice,30
2025-10-29,Burger,33
2025-10-29,Pizza,30
2025-10-29,Pasta,23
2025-10-29,Chicken Fry,32
2025-10-30,Chicken Biriyani,68
2025-10-30,Fried Rice,28
2025-10-30,Burger,41
2025-10-30,Pizza,21
2025-10-30,Pasta,29
2025-10-30,Chicken Fry,38
2025-10-31,Chicken Biriyani,94
2025-10-31,Fried Rice,49
2025-10-31,Burger,47
2025-10-31,Pizza,41
2025-10-31,Pasta,23
2025-10-31,Chicken Fry,53
2025-11-01,Chicken Biriyani,86
2025-11-01,Fried Rice,46
2025-11-01,Burger,51
2025-11-01,Pizza,49
2025-11-01,Pasta,28
2025-11-01,Chicken Fry,43
2025-11-02,Chicken Biriyani,87
2025-11-02,Fried Rice,53
2025-11-02,Burger,59
2025-11-02,Pizza,39
2025-11-02,Pasta,18
2025-11-02,Chicken Fry,40
2025-11-03,Chicken Biriyani,54
2025-11-03,Fried Rice,35
2025-11-03,Burger,23
2025-11-03,Pizza,20
2025-11-03,Pasta,23
2025-11-03,Chicken Fry,34
2025-11-04,Chicken Biriyani,55
2025-11-04,Fried Rice,36
2025-11-04,Burger,29
2025-11-04,Pizza,20
2025-11-04,Pasta,22
2025-11-04,Chicken Fry,27
2025-11-05,Chicken Biriyani,51
2025-11-05,Fried Rice,43
2025-11-05,Burger,43
2025-11-05,Pizza,13
2025-11-05,Pasta,21
2025-11-05,Chicken Fry,34
2025-11-06,Chicken Biriyani,57
2025-11-06,Fried Rice,40
2025-11-06,Burger,36
2025-11-06,Pizza,20
2025-11-06,Pasta,27
2025-11-06,Chicken Fry,28
2025-11-07,Chicken Biriyani,76
2025-11-07,Fried Rice,44
2025-11-07,Burger,37
2025-11-07,Pizza,47
2025-11-07,Pasta,25
2025-11-07,Chicken Fry,55
2025-11-08,Chicken Biriyani,91
2025-11-08,Fried Rice,45
2025-11-08,Burger,54
2025-11-08,Pizza,44
2025-11-08,Pasta,25
2025-11-08,Chicken Fry,56
2025-11-09,Chicken Biriyani,102
2025-11-09,Fried Rice,55
2025-11-09,Burger,56
2025-11-09,Pizza,54
2025-11-09,Pasta,28
2025-11-09,Chicken Fry,31
2025-11-10,Chicken Biriyani,63
